ад hell
алмаз diamond
белый white
блок block
вагонетка minecart
ведро backet
вода water
выход exit
гриб mushroom
дерево tree
дерево wood
деревянный wooden
доска whiteboard
доски boards
дуб oak
душа soul
жареный fried
жаренный fried
железо iron
желтый yellow
жёлтый yellow
зеленый green
зелёный green
золото gold
кактус cactus
камень stone
кирка pickaxe
кислород oxygen
кожа skin
кот cat
красный red
лодка boat
лопата shovel
меч sword
мотыга hoe
мяч ball
нитки threads
нить thread
огниво tinderbox
перо feather
рыба fish
светлый light
синий blue
снег snow
снежок snowball
собака dog
топор axe
тыква pumpkin
уголь coal
хлеб bread
черный black
чёрный black
яйцо egg

